index,year,numerator,denominator,proportion,percent,origin
1,2006,128,450,0.28444444444444444,28.444444444444443,gabapentinoids
2,2007,126,372,0.3387096774193548,33.87096774193548,gabapentinoids
3,2008,96,337,0.28486646884273,28.486646884272997,gabapentinoids
4,2009,164,581,0.2822719449225473,28.227194492254732,gabapentinoids
5,2010,165,566,0.2915194346289753,29.151943462897528,gabapentinoids
6,2011,191,607,0.31466227347611203,31.466227347611202,gabapentinoids
7,2012,200,688,0.29069767441860467,29.069767441860467,gabapentinoids
8,2013,143,496,0.28830645161290325,28.830645161290324,gabapentinoids
9,2014,176,566,0.31095406360424027,31.09540636042403,gabapentinoids
10,2015,112,413,0.2711864406779661,27.11864406779661,gabapentinoids
11,2016,138,479,0.2881002087682672,28.81002087682672,gabapentinoids
12,2017,99,471,0.21019108280254778,21.019108280254777,gabapentinoids
13,2018,125,424,0.294811320754717,29.4811320754717,gabapentinoids
14,2019,111,453,0.24503311258278146,24.503311258278146,gabapentinoids
1,2006,65,450,0.14444444444444443,14.444444444444443,gabapentin
2,2007,72,372,0.1935483870967742,19.35483870967742,gabapentin
3,2008,70,337,0.20771513353115728,20.77151335311573,gabapentin
4,2009,138,581,0.23752151462994836,23.752151462994835,gabapentin
5,2010,123,566,0.21731448763250882,21.73144876325088,gabapentin
6,2011,139,607,0.22899505766062603,22.899505766062603,gabapentin
7,2012,200,688,0.29069767441860467,29.069767441860467,gabapentin
8,2013,162,496,0.32661290322580644,32.66129032258064,gabapentin
9,2014,183,566,0.32332155477031804,32.332155477031804,gabapentin
10,2015,120,413,0.29055690072639223,29.055690072639223,gabapentin
11,2016,134,479,0.2797494780793319,27.97494780793319,gabapentin
12,2017,142,471,0.30148619957537154,30.148619957537154,gabapentin
13,2018,128,424,0.3018867924528302,30.18867924528302,gabapentin
14,2019,207,453,0.45695364238410596,45.6953642384106,gabapentin
1,2006,85,450,0.18888888888888888,18.88888888888889,CBZ
2,2007,73,372,0.19623655913978494,19.623655913978492,CBZ
3,2008,79,337,0.2344213649851632,23.44213649851632,CBZ
4,2009,142,581,0.24440619621342513,24.440619621342513,CBZ
5,2010,157,566,0.2773851590106007,27.73851590106007,CBZ
6,2011,145,607,0.23887973640856672,23.88797364085667,CBZ
7,2012,175,688,0.2543604651162791,25.436046511627907,CBZ
8,2013,125,496,0.25201612903225806,25.201612903225808,CBZ
9,2014,139,566,0.24558303886925795,24.558303886925795,CBZ
10,2015,98,413,0.23728813559322035,23.728813559322035,CBZ
11,2016,96,479,0.20041753653444677,20.041753653444676,CBZ
12,2017,150,471,0.3184713375796178,31.84713375796178,CBZ
13,2018,94,424,0.22169811320754718,22.169811320754718,CBZ
14,2019,113,453,0.24944812362030905,24.944812362030905,CBZ
1,2006,51,450,0.11333333333333333,11.333333333333332,OxCBZ
2,2007,51,372,0.13709677419354838,13.709677419354838,OxCBZ
3,2008,59,337,0.17507418397626112,17.50741839762611,OxCBZ
4,2009,73,581,0.12564543889845095,12.564543889845096,OxCBZ
5,2010,66,566,0.1166077738515901,11.66077738515901,OxCBZ
6,2011,92,607,0.1515650741350906,15.15650741350906,OxCBZ
7,2012,93,688,0.13517441860465115,13.517441860465116,OxCBZ
8,2013,76,496,0.1532258064516129,15.32258064516129,OxCBZ
9,2014,81,566,0.1431095406360424,14.310954063604239,OxCBZ
10,2015,53,413,0.12832929782082325,12.832929782082324,OxCBZ
11,2016,84,479,0.17536534446764093,17.536534446764094,OxCBZ
12,2017,83,471,0.1762208067940552,17.62208067940552,OxCBZ
13,2018,63,424,0.14858490566037735,14.858490566037736,OxCBZ
14,2019,70,453,0.1545253863134658,15.45253863134658,OxCBZ
1,2006,92,450,0.20444444444444446,20.444444444444446,pregabaline
2,2007,84,372,0.22580645161290322,22.58064516129032,pregabaline
3,2008,59,337,0.17507418397626112,17.50741839762611,pregabaline
4,2009,72,581,0.12392426850258176,12.392426850258175,pregabaline
5,2010,79,566,0.13957597173144876,13.957597173144876,pregabaline
6,2011,76,607,0.12520593080724876,12.520593080724876,pregabaline
7,2012,76,688,0.11046511627906977,11.046511627906977,pregabaline
8,2013,51,496,0.1028225806451613,10.28225806451613,pregabaline
9,2014,52,566,0.09187279151943463,9.187279151943462,pregabaline
10,2015,25,413,0.06053268765133172,6.053268765133172,pregabaline
11,2016,39,479,0.081419624217119,8.1419624217119,pregabaline
12,2017,30,471,0.06369426751592357,6.369426751592357,pregabaline
13,2018,37,424,0.08726415094339622,8.726415094339622,pregabaline
14,2019,30,453,0.06622516556291391,6.622516556291391,pregabaline
1,2006,97,450,0.21555555555555556,21.555555555555557,Opioids
2,2007,63,372,0.1693548387096774,16.93548387096774,Opioids
3,2008,46,337,0.13649851632047477,13.649851632047477,Opioids
4,2009,70,581,0.12048192771084337,12.048192771084338,Opioids
5,2010,60,566,0.10600706713780919,10.60070671378092,Opioids
6,2011,51,607,0.08401976935749589,8.40197693574959,Opioids
7,2012,57,688,0.08284883720930232,8.284883720930232,Opioids
8,2013,55,496,0.11088709677419355,11.088709677419354,Opioids
9,2014,57,566,0.10070671378091872,10.070671378091872,Opioids
10,2015,37,413,0.08958837772397095,8.958837772397095,Opioids
11,2016,35,479,0.07306889352818371,7.306889352818372,Opioids
12,2017,29,471,0.06157112526539278,6.1571125265392785,Opioids
13,2018,23,424,0.054245283018867926,5.4245283018867925,Opioids
14,2019,38,453,0.08388520971302428,8.388520971302428,Opioids
